=== MATCH SCHEDULE FOR SATURDAY ===
02:00 PM - 02:30 PM | BMS9   | Court 9
02:00 PM - 02:30 PM | BMS10  | Court 10
02:30 PM - 03:00 PM | BMS11  | Court 11
02:30 PM - 03:00 PM | BMS13  | Court 12
02:30 PM - 03:00 PM | BMS14  | Court 13
02:30 PM - 03:00 PM | BMS15  | Court 14
02:30 PM - 03:00 PM | DMS97  | Court 15
02:30 PM - 03:00 PM | DMS98  | Court 16
02:30 PM - 03:00 PM | DMS99  | Court 17
02:30 PM - 03:00 PM | DMS100 | Court 17
02:30 PM - 03:00 PM | DMS101 | Court 1
02:30 PM - 03:00 PM | DMS102 | Court 2
02:30 PM - 03:00 PM | DMS103 | Court 3
02:30 PM - 03:00 PM | DMS104 | Court 4
02:30 PM - 03:00 PM | DMS105 | Court 5
02:30 PM - 03:00 PM | DMS106 | Court 6
02:30 PM - 03:00 PM | DMS107 | Court 7
02:30 PM - 03:00 PM | DMS108 | Court 8
02:30 PM - 03:00 PM | DMS109 | Court 9
02:30 PM - 03:00 PM | DMS110 | Court 10
03:00 PM - 03:30 PM | DMS111 | Court 15
03:00 PM - 03:30 PM | DMS112 | Court 16
03:00 PM - 03:30 PM | CXD33  | Court 17
03:00 PM - 03:30 PM | CXD34  | Court 17
03:00 PM - 03:30 PM | CXD35  | Court 11
03:00 PM - 03:30 PM | CXD36  | Court 12
03:00 PM - 03:30 PM | CXD37  | Court 13
03:00 PM - 03:30 PM | CXD38  | Court 14
03:00 PM - 03:30 PM | CXD39  | Court 1
03:00 PM - 03:30 PM | CXD40  | Court 2
03:00 PM - 03:30 PM | CXD41  | Court 3
03:00 PM - 03:30 PM | CXD42  | Court 4
03:00 PM - 03:30 PM | CXD43  | Court 5
03:00 PM - 03:30 PM | CXD44  | Court 6
03:00 PM - 03:30 PM | CXD45  | Court 7
03:00 PM - 03:30 PM | CXD46  | Court 8
03:00 PM - 03:30 PM | CXD47  | Court 9
03:00 PM - 03:30 PM | CXD48  | Court 10
03:30 PM - 04:00 PM | DXD33  | Court 15
